Text,Labels,Mapped_Text
कर्णललाटात्‌ कनलंकारे,कर्णललाटात्+कन्+अलङ्कारे,कर्णललाटात्‌ NSP कनलंकारे NSP
तस्य व्याख्यान इति च व्याख्यातव्यनाम्नः,तस्य+व्याख्याने+इति+च+व्याख्यातव्यनाम्नः,तस्य NSP व्याख्यान NSP इति NSP च NSP व्याख्यातव्यनाम्नः NSP
बह्वचोऽन्तोदात्ताट्ठञ्,बह्वचः+अन्तोदात्ताट्ठञ्,बह्वचोऽन्तोदात्ताट्ठञ् NSP
क्रतुयज्ञेभ्यश्च,क्रतुयज्ञेभ्यः+च,क्रतुयज्ञेभ्यश्च NSP
अध्यायेष्वेवर्षेः,अध्यायेषु+एव+ऋषेः,अध्यायेष्वेवर्षेः NSP
छन्दसो यदणौ,छन्दसः+यदणौ,छन्दसो NSP यदणौ NSP
द्व्यजृद्ब्राह्मणर्क्प्रथमाध्वरपुरश्चरणनामाख्याताट्ठक्,द्‍व्यजृद्‍ब्राह्मणर्क्प्रथमाध्वरपुरश्चरणनामाख्यातात्+ठक्,द्व्यजृद्ब्राह्मणर्क्प्रथमाध्वरपुरश्चरणनामाख्याताट्ठक् NSP
अणृगयनादिभ्यः,अण्+ऋगयनादिभ्यः,अणृगयनादिभ्यः NSP
ठगायस्थानेभ्यः,ठक्+आयस्थानेभ्यः,ठगायस्थानेभ्यः NSP
शुण्डिकादिभ्योऽण्,शुण्डिकादिभ्यः+अण्,शुण्डिकादिभ्योऽण् NSP
विद्यायोनिसंबन्धेभ्यो वुञ्,विद्यायोनिसंबन्धेभ्यः+वुञ्,विद्यायोनिसंबन्धेभ्यो NSP वुञ् NSP
ऋतष्ठञ्,ऋतः+ठञ्,ऋतष्ठञ् NSP
पितुर्यच्च,पितुः+यत्+च,पितुर्यच्च NSP
गोत्रादङ्कवत्‌,गोत्रात्+अङ्कवत्,गोत्रादङ्कवत्‌ NSP
हेतुमनुष्येभ्योऽन्यतरस्यां रूप्यः,हेतुमनुष्येभ्यः+अन्यतरस्याम्+रूप्यः,हेतुमनुष्येभ्योऽन्यतरस्यां NSP रूप्यः NSP
विदूराञ्ञ्यः,विदूरात्+ञ्यः,विदूराञ्ञ्यः NSP
तद्गच्छति पथिदूतयोः,तत्+गच्छति+पथिदूतयोः,तद्गच्छति NSP पथिदूतयोः NSP
शिशुक्रन्दयमसभद्वंद्वेन्द्रजननादिभ्यश्छः,शिशुक्रन्दयमसभद्वन्द्वेन्द्रजननादिभ्यः+छः,शिशुक्रन्दयमसभद्वंद्वेन्द्रजननादिभ्यश्छः NSP
सोऽस्य निवासः,सः+अस्य+निवासः,सोऽस्य NSP निवासः NSP
अभिजनश्च,अभिजनः+च,अभिजनश्च NSP
आयुधजीविभ्यश्छः पर्वते,आयुधजीविभ्यः+छः+पर्वते,आयुधजीविभ्यश्छः NSP पर्वते NSP
शण्डिकादिभ्यो ञ्यः,शण्डिकादिभ्यः+ञ्यः,शण्डिकादिभ्यो NSP ञ्यः NSP
सिन्धुतक्षशिलाऽऽदिभ्योऽणञौ,सिन्धुतक्षशिलाऽऽदिभ्यः+अणञौ,सिन्धुतक्षशिलाऽऽदिभ्योऽणञौ NSP
तूदीशलातुरवर्मतीकूचवाराड्ढक्छण्ढञ्यकः,तूदीशलातुरवर्मतीकूचवारात्+ढक्छण्ढञ्यकः,तूदीशलातुरवर्मतीकूचवाराड्ढक्छण्ढञ्यकः NSP
अचित्ताददेशकालाट्ठक्,अचित्तात्+अदेशकालात्+ठक्,अचित्ताददेशकालाट्ठक् NSP
महाराजाट्ठञ्,महाराजात्+ठञ्,महाराजाट्ठञ् NSP
वासुदेवार्जुनाभ्यां वुन्,वासुदेवार्जुनाभ्याम्+वुन्,वासुदेवार्जुनाभ्यां NSP वुन् NSP
गोत्रक्षत्रियाख्येभ्यो बहुलं वुञ्,गोत्रक्षत्रियाख्येभ्यः+बहुलम्+वुञ्,गोत्रक्षत्रियाख्येभ्यो NSP बहुलं NSP वुञ् NSP
जनपदिनां जनपदवत्‌ सर्वं जनपदेन समानशब्दानां बहुवचने,जनपदिनाम्+जनपदवत्+सर्वम्+जनपदेन+समानशब्दानाम्+बहुवचने,जनपदिनां NSP जनपदवत्‌ NSP सर्वं NSP जनपदेन NSP समानशब्दानां NSP बहुवचने NSP
तित्तिरिवरतन्तुखण्डिकोखाच्छण्,तित्तिरिवरतन्तुखण्डिकोखात्+छण्,तित्तिरिवरतन्तुखण्डिकोखाच्छण् NSP
काश्यपकौशिकाभ्यामृषिभ्यां णिनिः,काश्यपकौशिकाभ्याम्+ऋषिभ्याम्+णिनिः,काश्यपकौशिकाभ्यामृषिभ्यां NSP णिनिः NSP
कलापिवैशम्पायनान्तेवासिभ्यश्च,कलापिवैशम्पायनान्तेवासिभ्यः+च,कलापिवैशम्पायनान्तेवासिभ्यश्च NSP
शौनकादिभ्यश्छन्दसि,शौनकादिभ्यः+छन्दसि,शौनकादिभ्यश्छन्दसि NSP
कठचरकाल्लुक्,कठचरकात्+लुक्,कठचरकाल्लुक् NSP
कलापिनोऽण्,कलापिनः+अण्,कलापिनोऽण् NSP
छगलिनो ढिनुक्,छगलिनः+ढिनुक्,छगलिनो NSP ढिनुक् NSP
पाराशर्यशिलालिभ्यां भिक्षुनटसूत्रयोः,पाराशर्यशिलालिभ्याम्+भिक्षुनटसूत्रयोः,पाराशर्यशिलालिभ्यां NSP भिक्षुनटसूत्रयोः NSP
कर्मन्दकृशाश्वादिनिः,कर्मन्दकृशाश्वात्+इनिः,कर्मन्दकृशाश्वादिनिः NSP
तेनैकदिक्,तेन+एकदिक्,तेनैकदिक् NSP
तसिश्च,तसिः+च,तसिश्च NSP
उरसो यच्च,उरसः+यत्+च,उरसो NSP यच्च NSP
कुलालादिभ्यो वुञ्,कुलालादिभ्यः+वुञ्,कुलालादिभ्यो NSP वुञ् NSP
क्षुद्राभ्रमरवटरपादपादञ्,क्षुद्राभ्रमरवटरपादपात्+अञ्,क्षुद्राभ्रमरवटरपादपादञ् NSP
तस्येदम्,तस्य+इदम्,तस्येदम् NSP
रथाद्यत्‌,रथात्+यत्,रथाद्यत्‌ NSP
पत्त्रपूर्वादञ्,पत्त्रपूर्वात्+अञ्,पत्त्रपूर्वादञ् NSP
पत्त्राध्वर्युपरिषदश्च,पत्त्राध्वर्युपरिषदः+च,पत्त्राध्वर्युपरिषदश्च NSP
हलसीराट्ठक्,हलसीरात्+ठक्,हलसीराट्ठक् NSP
द्वंद्वाद्वुन् वैरमैथुनिकयोः,द्वन्द्वात्+वुन्+वैरमैथुनिकयोः,द्वंद्वाद्वुन् NSP वैरमैथुनिकयोः NSP
गोत्रचरणाद्वुञ्,गोत्रचरणात्+वुञ्,गोत्रचरणाद्वुञ् NSP
संघाङ्कलक्षणेष्वञ्यञिञामण्,संघाङ्कलक्षणेषु+अञ्यञिञाम्+अण्,संघाङ्कलक्षणेष्वञ्यञिञामण् NSP
शाकलाद्वा,शाकलात्+वा,शाकलाद्वा NSP
छन्दोगौक्थिकयाज्ञिकबह्वृचनटाञ्ञ्यः,छन्दोगौक्थिकयाज्ञिकबह्‍वृचनटात्+ञ्यः,छन्दोगौक्थिकयाज्ञिकबह्वृचनटाञ्ञ्यः NSP
रैवतिकादिभ्यश्छः,रैवतिकादिभ्यः+छः,रैवतिकादिभ्यश्छः NSP
कौपिञ्जलहास्तिपदादण्,कौपिञ्जलहास्तिपदात्+अण्,कौपिञ्जलहास्तिपदादण् NSP
आथर्वणिकस्येकलोपश्च,आथर्वणिकस्येकलोपः+च,आथर्वणिकस्येकलोपश्च NSP
बिल्वादिभ्योऽण्,बिल्वादिभ्यः+अण्,बिल्वादिभ्योऽण् NSP
कोपधाच्च,कोपधात्+च,कोपधाच्च NSP
ओरञ्,ओः+अञ्,ओरञ् NSP
अनुदात्तादेश्च,अनुदात्तादेः+च,अनुदात्तादेश्च NSP
पलाशादिभ्यो वा,पलाशादिभ्यः+वा,पलाशादिभ्यो NSP वा NSP
शम्याष्ट्लञ्,शम्याः+ट्लञ्,शम्याष्ट्लञ् NSP
मयड्वैतयोर्भाषायामभक्ष्याच्छादनयोः,मयट्+वा+एतयोः+भाषायाम्+अभक्ष्याच्छादनयोः,मयड्वैतयोर्भाषायामभक्ष्याच्छादनयोः NSP
नित्यं वृद्धशरादिभ्यः,नित्यम्+वृद्धशरादिभ्यः,नित्यं NSP वृद्धशरादिभ्यः NSP
गोश्च पुरीषे,गोः+च+पुरीषे,गोश्च NSP पुरीषे NSP
पिष्टाच्च,पिष्टात्+च,पिष्टाच्च NSP
संज्ञायां कन्,संज्ञायाम्+कन्,संज्ञायां NSP कन् NSP
असंज्ञायां तिलयवाभ्याम्‌,असंज्ञायाम्+तिलयवाभ्याम्,असंज्ञायां NSP तिलयवाभ्याम्‌ NSP
द्व्यचश्छन्दसि,द्‍व्यचः+छन्दसि,द्व्यचश्छन्दसि NSP
नोत्वद्वर्ध्रबिल्वात्‌,नः+उत्वद्वर्द्‍ध्रबिल्वात्,नोत्वद्वर्ध्रबिल्वात्‌ NSP
तालादिभ्योऽण्,तालादिभ्यः+अण्,तालादिभ्योऽण् NSP
प्राणिरजतादिभ्योऽञ्,प्राणिरजतादिभ्यः+अञ्,प्राणिरजतादिभ्योऽञ् NSP
ञितश्च तत्प्रत्ययात्‌,ञितः+च+तत्प्रत्ययात्,ञितश्च NSP तत्प्रत्ययात्‌ NSP
क्रीतवत्‌ परिमाणात्‌,क्रीतवत्+परिमाणात्,क्रीतवत्‌ NSP परिमाणात्‌ NSP
उष्ट्राद्वुञ्,उष्ट्रात्+वुञ्,उष्ट्राद्वुञ् NSP
उमोर्णयोर्वा,उमोर्णयोः+वा,उमोर्णयोर्वा NSP
एण्या ढञ्,एण्याः+ढञ्,एण्या NSP ढञ् NSP
गोपयसोर्यत्‌,गोपयसोः+यत्,गोपयसोर्यत्‌ NSP
द्रोश्च,द्रोः+च,द्रोश्च NSP
प्लक्षादिभ्योऽण्,प्लक्षादिभ्यः+अण्,प्लक्षादिभ्योऽण् NSP
जम्ब्वा वा,जम्ब्वाः+वा,जम्ब्वा NSP वा NSP
हरीतक्यादिभ्यश्च,हरीतक्यादिभ्यः+च,हरीतक्यादिभ्यश्च NSP
कंसीयपरशव्ययोर्यञञौ लुक् च,कंसीयपरशव्ययोः+यञञौ+लुक्+च,कंसीयपरशव्ययोर्यञञौ NSP लुक् NSP च NSP
प्राग्वहतेष्ठक्,प्राक्+वहते+ठक्,प्राग्वहतेष्ठक् NSP
कुलत्थकोपधादण्,कुलत्थकोपधात्+अण्,कुलत्थकोपधादण् NSP
गोपुच्छाट्ठञ्,गोपुच्छात्+ठञ्,गोपुच्छाट्ठञ् NSP
नौद्व्यचष्ठन्,नौद्‍व्यचः+ठन्,नौद्व्यचष्ठन् NSP
श्वगणाट्ठञ्च,श्वगणात्+ठञ्+च,श्वगणाट्ठञ्च NSP
वेतनादिभ्यो जीवति,वेतनादिभ्यः+जीवति,वेतनादिभ्यो NSP जीवति NSP
वस्नक्रयविक्रयाट्ठन्,वस्नक्रयविक्रयात्+ठन्,वस्नक्रयविक्रयाट्ठन् NSP
आयुधाच्छ च,आयुधात्+छ+च,आयुधाच्छ NSP च NSP
हरत्युत्सङ्गादिभ्यः,हरति+उत्सङ्गादिभ्यः,हरत्युत्सङ्गादिभ्यः NSP
विभाषा विवधवीवधात्‌,विभाषा+विवधवीवधात्,विभाषा NSP विवधवीवधात्‌ NSP
निर्वृत्तेऽक्षद्यूतादिभ्यः,निर्वृत्ते+अक्षद्यूतादिभ्यः,निर्वृत्तेऽक्षद्यूतादिभ्यः NSP
क्त्रेर्मम् नित्यं,क्‍त्रेः+मप्+नित्यम्,क्त्रेर्मम् NSP नित्यं NSP
अपमित्ययाचिताभ्यां कक्कनौ,अपमित्ययाचिताभ्याम्+कक्कनौ,अपमित्ययाचिताभ्यां NSP कक्कनौ NSP
चूर्णादिनिः,चूर्णात्+इनिः,चूर्णादिनिः NSP
लवणाल्लुक्,लवणात्+लुक्,लवणाल्लुक् NSP
मुद्गादण्,मुद्गात्+अण्,मुद्गादण् NSP
व्यञ्जनैरुपसिक्ते,व्यञ्जनैः+उपसिक्ते,व्यञ्जनैरुपसिक्ते NSP
ओजस्सहोऽम्भसा वर्तते,ओजःसहोम्भसा+वर्तते,ओजस्सहोऽम्भसा NSP वर्तते NSP
तत् प्रत्यनुपूर्वमीपलोमकूलम्,तत्+प्रत्यनुपूर्वम्+ईपलोमकूलम्,तत् NSP प्रत्यनुपूर्वमीपलोमकूलम् NSP
परिमुखं च,परिमुखम्+च,परिमुखं NSP च NSP
कुसीददशैकादशात्‌ ष्ठन्ष्ठचौ,कुसीददशैकादशात्+ष्ठन्ष्ठचौ,कुसीददशैकादशात्‌ NSP ष्ठन्ष्ठचौ NSP
शब्ददर्दुरं करोति,शब्ददर्दुरम्+करोति,शब्ददर्दुरं NSP करोति NSP
परिपन्थं च तिष्ठति,परिपन्थम्+च+तिष्ठति,परिपन्थं NSP च NSP तिष्ठति NSP
माथोत्तरपदपदव्यनुपदं धावति,माथोत्तरपदपदव्यनुपदम्+धावति,माथोत्तरपदपदव्यनुपदं NSP धावति NSP
आक्रन्दाट्ठञ्च,आक्रन्दात्+ठञ्+च,आक्रन्दाट्ठञ्च NSP
पदोत्तरपदं गृह्णाति,पदोत्तरपदम्+गृह्णाति,पदोत्तरपदं NSP गृह्णाति NSP
प्रतिकण्ठार्थललामं च,प्रतिकण्ठार्थललामम्+च,प्रतिकण्ठार्थललामं NSP च NSP
धर्मं चरति,धर्मम्+चरति,धर्मं NSP चरति NSP
प्रतिपथमेति ठंश्च,प्रतिपथम्+एति+ठन्+च,प्रतिपथमेति NSP ठंश्च NSP
परिषदो ण्यः,परिषदः+ण्यः,परिषदो NSP ण्यः NSP
सेनाया वा,सेनायाः+वा,सेनाया NSP वा NSP
संज्ञायां ललाटकुक्कुट्यौ पश्यति,संज्ञायाम्+ललाटकुक्‍कुट्यौ+पश्यति,संज्ञायां NSP ललाटकुक्कुट्यौ NSP पश्यति NSP
ऋतोऽञ्,ऋतः+अञ्,ऋतोऽञ् NSP
तदस्य पण्यम्,तत्+अस्य+पण्यम्,तदस्य NSP पण्यम् NSP
लवणाट्ठञ्,लवणात्+ठञ्,लवणाट्ठञ् NSP
शलालुनोऽन्यतरस्याम्,शलालुनः+अन्यतरस्याम्,शलालुनोऽन्यतरस्याम् NSP
मड्डुकझर्झरादणन्यतरस्याम्,मड्‍डुकझर्झरात्+अण्+अन्यतरस्याम्,मड्डुकझर्झरादणन्यतरस्याम् NSP
परश्वधाट्ठञ्च,परश्वधात्+ठञ्+च,परश्वधाट्ठञ्च NSP
शक्तियष्ट्योरीकक्,शक्तियष्ट्‍योः+ईकक्,शक्तियष्ट्योरीकक् NSP
अस्तिनास्तिदिष्टं मतिः,अस्तिनास्तिदिष्टम्+मतिः,अस्तिनास्तिदिष्टं NSP मतिः NSP
छत्रादिभ्यो णः,छत्रादिभ्यः+णः,छत्रादिभ्यो NSP णः NSP
कर्माध्ययने वृत्तम्,कर्म+अध्ययने+वृत्तम्,कर्माध्ययने NSP वृत्तम् NSP
बह्वच्पूर्वपदाट्ठच्,बह्वच्पूर्वपदात्+ठच्,बह्वच्पूर्वपदाट्ठच् NSP
हितं भक्षाः,हितम्+भक्षाः,हितं NSP भक्षाः NSP
तदस्मै दीयते नियुक्तम्,तत्+अस्मै+दीयते+नियुक्तम्,तदस्मै NSP दीयते NSP नियुक्तम् NSP
श्राणामांसौदनाट्टिठन्,श्राणामांसौदनात्+टिठन्,श्राणामांसौदनाट्टिठन् NSP
भक्तादणन्यतरस्याम्,भक्तात्+अण्+अन्यतरस्याम्,भक्तादणन्यतरस्याम् NSP
अगारान्ताट्ठन्,अगारान्तात्+ठन्,अगारान्ताट्ठन् NSP
अध्यायिन्यदेशकालात्‌,अध्यायिनि+अदेशकालात्,अध्यायिन्यदेशकालात्‌ NSP
प्राग्घिताद्यत्‌,प्राक्+हितात्+यत्,प्राग्घिताद्यत्‌ NSP
तद्वहति रथयुगप्रासङ्गम्,तत्+द्वहति+रथयुगप्रासङ्गम्,तद्वहति NSP रथयुगप्रासङ्गम् NSP
धुरो यड्ढकौ,धुरः+यड्‍ढकौ,धुरो NSP यड्ढकौ NSP
खः सर्वधुरात्‌,खः+सर्वधुरात्,खः NSP सर्वधुरात्‌ NSP
एकधुराल्लुक् च,एकधुरात्+लुक्+च,एकधुराल्लुक् NSP च NSP
शकटादण्,शकटात्+अण्,शकटादण् NSP
हलसीराट्ठक्,हलसीरात्+ठक्,हलसीराट्ठक् NSP
संज्ञायां जन्याः,संज्ञायाम्+जन्याः,संज्ञायां NSP जन्याः NSP
विध्यत्यधनुषा,विध्यति+अधनुषा,विध्यत्यधनुषा NSP
धनगणं लब्धा,धनगणम्+लब्धा,धनगणं NSP लब्धा NSP
अन्नाण्णः,अन्नात्+णः,अन्नाण्णः NSP
वशं गतः,वशम्+गतः,वशं NSP गतः NSP
पदमस्मिन् दृश्यम्‌,पदम्+अस्मिन्+दृश्यम्,पदमस्मिन् NSP दृश्यम्‌ NSP
मूलमस्याबर्हि,मूलम्+अस्य+आबर्हि,मूलमस्याबर्हि NSP
संज्ञायां धेनुष्या,संज्ञायाम्+धेनुष्या,संज्ञायां NSP धेनुष्या NSP
नौवयोधर्मविषमूलमूलसीतातुलाभ्यस्तार्यतुल्यप्राप्यवध्यानाम्यसमसमितसम्मितेषु,नौवयोधर्मविषमूलमूलसीतातुलाभ्यः+तार्यतुल्यप्राप्यवध्यानाम्यसमसमितसम्मितेषु,नौवयोधर्मविषमूलमूलसीतातुलाभ्यस्तार्यतुल्यप्राप्यवध्यानाम्यसमसमितसम्मितेषु NSP
धर्मपथ्यर्थन्यायादनपेते,धर्मपथ्यर्थन्यायात्+अनपेते,धर्मपथ्यर्थन्यायादनपेते NSP
छन्दसो निर्मिते,छन्दसः+निर्मिते,छन्दसो NSP निर्मिते NSP
उरसोऽण् च,उरसः+अण्+च,उरसोऽण् NSP च NSP
बन्धने चर्षौ,बन्धने+च+ऋषौ,बन्धने NSP चर्षौ NSP
मतजनहलात्‌ करणजल्पकर्षेषु,मतजनहलात्+करणजल्पकर्षेषु,मतजनहलात्‌ NSP करणजल्पकर्षेषु NSP
भक्ताण्णः,भक्तात्+णः,भक्ताण्णः NSP
परिषदो ण्यः,परिषदः+ण्यः,परिषदो NSP ण्यः NSP
कथाऽऽदिभ्यष्ठक्,कथाऽऽदिभ्यः+ठक्,कथाऽऽदिभ्यष्ठक् NSP
गुडादिभ्यष्ठञ्,गुडादिभ्यः+ठञ्,गुडादिभ्यष्ठञ् NSP
पथ्यतिथिवसतिस्वपतेर्ढञ्,पथ्यतिथिवसतिस्वपतेः+ढञ्,पथ्यतिथिवसतिस्वपतेर्ढञ् NSP
सभाया यः,सभायाः+यः,सभाया NSP यः NSP
ढश्छन्दसि,ढः+छन्दसि,ढश्छन्दसि NSP
समानोदरे शयित ओ चोदात्तः,समानोदरे+शयितः+ओ+च+उदात्तः,समानोदरे NSP शयित NSP ओ NSP चोदात्तः NSP
सोदराद्यः,सोदरात्+यः,सोदराद्यः NSP
पाथोनदीभ्यां ड्यण्,पाथोनदीभ्याम्+ड्यण्,पाथोनदीभ्यां NSP ड्यण् NSP
वेशन्तहिमवद्भ्यामण्,वेशन्तहिमवद्‍भ्याम्+अण्,वेशन्तहिमवद्भ्यामण् NSP
स्रोतसो विभाषा ड्यड्ड्यौ,स्रोतसः+विभाषा+ड्यड्ड्यौ,स्रोतसो NSP विभाषा NSP ड्यड्ड्यौ NSP
सगर्भसयूथसनुताद्यन्,सगर्भसयूथसनुतात्+यन्,सगर्भसयूथसनुताद्यन् NSP
तुग्राद्घन्,तुग्रात्+घन्,तुग्राद्घन् NSP
अग्राद्यत्‌,अग्रात्+यत्,अग्राद्यत्‌ NSP
समुद्राभ्राद्घः,समुद्राभ्रात्+घः,समुद्राभ्राद्घः NSP
रक्षोयातूनां हननी,रक्षोयातूनाम्+हननी,रक्षोयातूनां NSP हननी NSP
मायायामण्,मायायाम्+अण्,मायायामण् NSP
तद्वानासामुपधानो मन्त्र इतीष्टकासु लुक् च मतोः,तद्वान्+आसाम्+उपधानः+मन्त्रः+इति+इष्टकासु+लुक्+च+मतोः,तद्वानासामुपधानो NSP मन्त्र NSP इतीष्टकासु NSP लुक् NSP च NSP मतोः NSP
अश्विमानण्,अश्विमान्+अण्,अश्विमानण् NSP
वयस्यासु मूर्ध्नो मतुप्‌,वयस्यासु+मूर्ध्नः+मतुप्,वयस्यासु NSP मूर्ध्नो NSP मतुप्‌ NSP
मधोर्ञ च,मधोः+ञ+च,मधोर्ञ NSP च NSP
ओजसोऽहनि यत्खौ,ओजसः+अहनि+यत्खौ,ओजसोऽहनि NSP यत्खौ NSP
वेशोयशआदेर्भगाद्यल्,वेशोयशआदेः+भगात्+यल्,वेशोयशआदेर्भगाद्यल् NSP
पूर्वैः कृतमिनियौ च,पूर्वैः+कृतम्+इनियौ+च,पूर्वैः NSP कृतमिनियौ NSP च NSP
सोममर्हति यः,सोमम्+अर्हति+यः,सोममर्हति NSP यः NSP
नक्षत्राद्घः,नक्षत्रात्+घः,नक्षत्राद्घः NSP
सर्वदेवात्‌ तातिल्,सर्वदेवात्+तातिल्,सर्वदेवात्‌ NSP तातिल् NSP
प्राक् क्रीताच्छः,प्राक्+क्रीतात्+छः,प्राक् NSP क्रीताच्छः NSP
उगवादिभ्योऽत्‌,उगवादिभ्यः+यत्,उगवादिभ्योऽत्‌ NSP
कम्बलाच्च संज्ञायाम्,कम्बलात्+च+संज्ञायाम्,कम्बलाच्च NSP संज्ञायाम् NSP
शरीरावयवाद्यत्‌,शरीरावयवात्+यत्,शरीरावयवाद्यत्‌ NSP
खलयवमाषतिलवृषब्रह्मणश्च,खलयवमाषतिलवृषब्रह्मणः+च,खलयवमाषतिलवृषब्रह्मणश्च NSP
अजाविभ्यां थ्यन्,अजाविभ्याम्+थ्यन्,अजाविभ्यां NSP थ्यन् NSP
आत्मन्विश्वजनभोगोत्तरपदात्‌ खः,आत्मन्विश्वजनभोगोत्तरपदात्+खः,आत्मन्विश्वजनभोगोत्तरपदात्‌ NSP खः NSP
सर्वपुरुषाभ्यां णढञौ,सर्वपुरुषाभ्याम्+णढञौ,सर्वपुरुषाभ्यां NSP णढञौ NSP
माणवचरकाभ्यां खञ्,माणवचरकाभ्याम्+खञ्,माणवचरकाभ्यां NSP खञ् NSP
तदर्थं विकृतेः प्रकृतौ,तदर्थम्+विकृतेः+प्रकृतौ,तदर्थं NSP विकृतेः NSP प्रकृतौ NSP
ऋषभोपानहोर्ञ्यः,ऋषभोपानहोः+ञ्यः,ऋषभोपानहोर्ञ्यः NSP
चर्म्मणोऽञ्,चर्म्मणः+अञ्,चर्म्मणोऽञ् NSP
तदस्य तदस्मिन् स्यादिति,तत्+अस्य+तत्+अस्मिन्+स्यात्+इति,तदस्य NSP तदस्मिन् NSP स्यादिति NSP
परिखाया ढञ्,परिखायाः+ढञ्,परिखाया NSP ढञ् NSP
प्राग्वतेष्ठञ्,प्राक्+वतेः+ठञ्,प्राग्वतेष्ठञ् NSP
आर्हादगोपुच्छसंख्यापरिमाणाट्ठक्,आ+अर्हात्+अगोपुच्छसंख्यापरिमाणात्+ठक्,आर्हादगोपुच्छसंख्यापरिमाणाट्ठक् NSP
शताच्च ठन्यतावशते,शतात्+च+ठन्यतौ+अशते,शताच्च NSP ठन्यतावशते NSP
वतोरिड्वा,वतोः+इट्+वा,वतोरिड्वा NSP
विंशतित्रिंशद्भ्यां ड्वुन्नसंज्ञायाम्‌,विंशतित्रिंशद्‍भ्याम्+ड्‍वुन्+असंज्ञायाम्,विंशतित्रिंशद्भ्यां NSP ड्वुन्नसंज्ञायाम्‌ NSP
कंसाट्टिठन्,कंसात्+टिठन्,कंसाट्टिठन् NSP
शूर्पादञन्यतरस्याम्,शूर्पात्+अञ्+अन्यतरस्याम्,शूर्पादञन्यतरस्याम् NSP
शतमानविंशतिकसहस्रवसनादण्,शतमानविंशतिकसहस्रवसनात्+अण्,शतमानविंशतिकसहस्रवसनादण् NSP
अध्यर्धपूर्वद्विगोर्लुगसंज्ञायाम्,अध्यर्धपूर्वद्विगोः+लुक्+असंज्ञायाम्,अध्यर्धपूर्वद्विगोर्लुगसंज्ञायाम् NSP
द्वित्रिपूर्वान्निष्कात्‌,द्वित्रिपूर्वात्+निष्कात्,द्वित्रिपूर्वान्निष्कात्‌ NSP
बिस्ताच्च,बिस्तात्+च,बिस्ताच्च NSP
विंशतिकात्‌ खः,विंशतिकात्+खः,विंशतिकात्‌ NSP खः NSP
खार्या ईकन्,खार्याः+ईकन्,खार्या NSP ईकन् NSP
पणपादमाषशतादत्‌,पणपादमाषशतात्+यत्,पणपादमाषशतादत्‌ NSP
शाणाद्वा,शाणात्+वा,शाणाद्वा NSP
द्वित्रिपूर्वादण् च,द्वित्रिपूर्वात्+अण्+च,द्वित्रिपूर्वादण् NSP च NSP
तस्य निमित्तं संयोगोत्पातौ,तस्य+निमित्तम्+संयोगोत्पातौ,तस्य NSP निमित्तं NSP संयोगोत्पातौ NSP
गोद्व्यचोरसंख्यापरिमाणाश्वादेर्यत्‌,गोद्‍व्यचः+असंख्यापरिमाणाश्वादेः+यत्,गोद्व्यचोरसंख्यापरिमाणाश्वादेर्यत्‌ NSP
पुत्राच्छ च,पुत्रात्+छ+च,पुत्राच्छ NSP च NSP
सर्वभूमिपृथिवीभ्यामणञौ,सर्वभूमिपृथिवीभ्याम्+अणञौ,सर्वभूमिपृथिवीभ्यामणञौ NSP
तस्येश्वरः,तस्य+इश्वरः,तस्येश्वरः NSP
तत्र विदित इति च,तत्र+विदितः+इति+च,तत्र NSP विदित NSP इति NSP च NSP
लोकसर्वलोकाट्ठञ्,लोकसर्वलोकात्+ठञ्,लोकसर्वलोकाट्ठञ् NSP
तदस्मिन् वृद्ध्यायलाभशुल्कोपदा दीयते,तत्+अस्मिन्+वृद्ध्यायलाभशुल्कोपदाः+दीयते,तदस्मिन् NSP वृद्ध्यायलाभशुल्कोपदा NSP दीयते NSP
पूरणार्धाट्ठन्,पूरणार्धात्+ठन्,पूरणार्धाट्ठन् NSP
भागाद्यच्च,भागात्+यत्+च,भागाद्यच्च NSP
तद्धरति वहत्यावहति भाराद्वंशादिभ्यः,तद्+हरति+वहति+आवहति+भारात्+वंशादिभ्यः,तद्धरति NSP वहत्यावहति NSP भाराद्वंशादिभ्यः NSP
वस्नद्रव्याभ्यां ठन्कनौ,वस्नद्रव्याभ्याम्+ठन्कनौ,वस्नद्रव्याभ्यां NSP ठन्कनौ NSP
सम्भवत्यवहरति पचति,सम्भवति+अवहरति+पचति,सम्भवत्यवहरति NSP पचति NSP
आढकाचितपात्रात्‌ खोऽन्यतरयाम्,आढकाचितपात्रात्+खः+अन्यतरयाम्,आढकाचितपात्रात्‌ NSP खोऽन्यतरयाम् NSP
द्विगोष्ठंश्च,द्विगोः+ष्ठन्+च,द्विगोष्ठंश्च NSP
कुलिजाल्लुक्खौ च,कुलिजात्+लुक्खौ+च,कुलिजाल्लुक्खौ NSP च NSP
सोऽस्यांशवस्नभृतयः,सः+अस्य+अंशवस्नभृतयः,सोऽस्यांशवस्नभृतयः NSP
तदस्य परिमाणम्,तत्+अस्य+परिमाणम्,तदस्य NSP परिमाणम् NSP
संख्यायाः संज्ञासंघसूत्राध्ययनेषु,संख्यायाः+संज्ञासङ्‍घसूत्राध्ययनेषु,संख्यायाः NSP संज्ञासंघसूत्राध्ययनेषु NSP
सप्तनोऽञ् छन्दसि,सप्तनः+अञ्+छन्दसि,सप्तनोऽञ् NSP छन्दसि NSP
